Caracteristique,Valeur,Visuel,Auditif_et_parole,Intellect_apprentissage,Sante_mentale,Physique,Autres,Conjoints_sans_CSE,Demandeurs_asile,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Durcon_moins_2ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,170,106,2254,10200,7350,1677,0,108,155,2477,8782,12975,5738,7199,41.893643425,133.24125569
Situation familiale,Couples sans enfants,8,7,36,183,548,57,587,45,80,341,708,718,32,430,56.33029453,173.16619916
Situation familiale,Familles monoparentales,12,9,43,294,515,36,0,2,11,184,758,151,17,221,44.308030803,145.94279428
Situation familiale,Couples avec enfants,5,12,27,88,215,17,312,14,40,254,337,339,21,225,44.73964497,136.78846154
Situation familiale,Conjoint d'étudiant,0,0,0,1,2,0,0,0,0,1,2,1,0,1,38,40.333333333
Sexe,Hommes,114,60,1242,6739,4605,1056,368,93,114,1734,0,14184,3748,4926,41.490200226,127.44507896
Sexe,Femmes,81,74,1118,4027,4025,731,531,76,172,1523,10587,0,2060,3150,44.766600548,147.6750732
Âge,Moins de 20 ans,5,7,408,663,208,272,2,2,15,129,557,1008,1565,1530,18.574440895,11.258785942
Âge,De 20 à 24 ans,27,13,1062,2229,612,280,20,12,25,335,1503,2740,4243,1018,21.680179119,40.029931652
Âge,De 25 à 29 ans,13,11,238,912,241,69,30,9,20,174,544,970,0,544,26.994055482,61.984808454
Âge,De 30 à 34 ans,11,15,135,914,301,74,55,13,19,182,570,935,0,568,32.063122924,90.388039867
Âge,De 35 à 39 ans,16,15,118,779,334,67,54,9,12,182,570,813,0,461,37.024584237,120.32465654
Âge,De 40 à 44 ans,24,10,93,938,542,67,95,11,23,255,790,979,0,585,42.094403618,139.92877332
Âge,De 45 à 49 ans,10,11,85,1012,791,97,112,13,30,298,1011,1107,0,631,47.035410765,164.77289896
Âge,De 50 à 54 ans,21,11,67,981,1103,127,117,11,16,363,1171,1256,0,650,52.173877215,191.5092707
Âge,55 ans et plus,68,41,154,2338,4498,734,414,89,126,1339,3871,4376,0,2089,60.669576816,209.29380381
Âge,35 ans et moins,60,50,1866,4867,1430,712,110,36,83,853,3299,5796,5808,3743,24.14095657,49.001099505
Âge,36 ans et plus,135,84,494,5899,7200,1075,789,133,203,2404,7288,8388,0,4333,53.768754784,186.61980097
Scolarité,Primaire,13,19,586,897,691,170,85,3,48,357,1002,1459,1086,881,36.252742787,120.10442909
Scolarité,Secondaire I à IV,61,35,656,3712,3223,522,320,5,16,628,3332,5197,1462,2612,44.069293,176.1166608
Scolarité,Secondaire V,50,31,129,2456,2259,366,183,3,18,640,2533,2941,354,1665,48.388746803,152.31311655
Scolarité,Collégiale,15,11,1,995,643,117,58,1,3,275,940,900,53,579,48.250543478,130.7548913
Scolarité,Universitaire,13,9,2,677,455,59,53,5,16,421,634,634,1,461,51.289432177,115.91088328
Scolarité,Inconnue,43,29,986,2029,1359,553,200,152,185,936,2146,3053,2852,1878,34.364300827,67.727447586
Diplôme maximum obtenu,Aucun diplôme,88,63,1296,5062,4335,779,445,10,69,1250,4824,7244,2671,3804,42.855734173,162.17732847
Diplôme maximum obtenu,Secondaire - DES,32,21,58,1883,1495,243,125,1,13,380,1874,1983,238,1217,47.32797511,143.57479907
Diplôme maximum obtenu,Secondaire - DEP,8,4,14,437,525,74,35,0,1,68,472,625,10,320,51.69644485,179.96991796
Diplôme maximum obtenu,Secondaire - ASP,1,1,3,30,30,2,1,0,0,2,27,41,2,22,49.75,198
Diplôme maximum obtenu,Collégial - AEC,1,1,0,166,132,28,7,0,0,39,165,170,1,107,50.746268657,132.34925373
