Caracteristique,Valeur,Visuel,Auditif_et_parole,Intellect_apprentissage,Sante_mentale,Physique,Autres,Conjoints_sans_CSE,Demandeurs_asile,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Durcon_moins_2ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,170,109,2257,10217,7426,1609,0,114,156,2470,8770,13018,5751,7144,41.907930971,133.36767946
Situation familiale,Couples sans enfants,7,7,39,188,555,59,598,45,75,353,722,731,36,444,56.351686167,173.86717137
Situation familiale,Familles monoparentales,12,7,43,300,517,35,0,3,10,191,761,153,17,233,44.388402626,145.63129103
Situation familiale,Couples avec enfants,6,11,30,85,217,15,311,14,43,256,336,339,22,225,44.712592593,134.03111111
Situation familiale,Conjoint d'étudiant,0,0,0,1,2,0,0,0,0,1,2,1,0,1,38,39.333333333
Sexe,Hommes,118,61,1249,6753,4672,1015,374,99,118,1738,0,14242,3763,4910,41.517694144,127.54753546
Sexe,Femmes,77,73,1120,4038,4045,703,535,77,166,1533,10591,0,2063,3137,44.805967331,147.82437919
Âge,Moins de 20 ans,3,6,420,659,207,273,2,2,14,130,563,1007,1570,1536,18.577070064,11.455414013
Âge,De 20 à 24 ans,29,13,1048,2246,623,275,22,13,26,338,1500,2756,4256,989,21.686090226,40.144266917
Âge,De 25 à 29 ans,14,12,243,896,252,67,30,9,22,176,542,972,0,550,27.015191546,61.743064729
Âge,De 30 à 34 ans,9,14,138,897,300,70,56,13,18,176,564,920,0,557,32.066037736,90.066037736
Âge,De 35 à 39 ans,18,15,118,793,334,60,53,11,13,182,563,828,0,469,37.033069734,120.90582315
Âge,De 40 à 44 ans,24,9,95,927,543,69,95,12,23,257,796,966,0,591,42.090238365,139.26447219
Âge,De 45 à 49 ans,10,14,81,1012,802,87,101,12,28,298,985,1122,0,617,47.043663977,164.15946844
Âge,De 50 à 54 ans,22,11,72,1001,1114,112,127,12,20,369,1184,1275,0,661,52.182187881,191.19845466
Âge,55 ans et plus,66,40,154,2360,4542,705,423,92,120,1345,3894,4396,0,2077,60.648130277,209.47635706
Âge,35 ans et moins,59,50,1870,4850,1450,701,112,37,84,854,3292,5800,5826,3718,24.123295205,48.884953806
Âge,36 ans et plus,136,84,499,5941,7267,1017,797,139,200,2417,7299,8442,0,4329,53.777142494,186.62588146
Scolarité,Primaire,13,18,583,895,698,159,87,2,48,360,997,1456,1076,859,36.433346922,120.57236038
Scolarité,Secondaire I à IV,60,35,665,3704,3241,502,320,5,17,623,3322,5205,1479,2602,44.077870294,176.11915093
Scolarité,Secondaire V,50,30,127,2462,2288,351,186,4,18,639,2537,2957,348,1663,48.453403713,152.58500182
Scolarité,Collégiale,16,11,1,998,648,105,58,1,4,277,940,897,53,573,48.228633642,130.89112684
Scolarité,Universitaire,12,8,1,682,463,56,52,5,16,423,633,641,1,452,51.166405024,115.5855573
Scolarité,Inconnue,44,32,992,2050,1379,545,206,159,181,949,2162,3086,2869,1898,34.418254573,68.331364329
Diplôme maximum obtenu,Aucun diplôme,90,62,1301,5048,4368,741,454,10,70,1251,4817,7247,2674,3762,42.905421088,162.45233753
Diplôme maximum obtenu,Secondaire - DES,30,20,58,1898,1509,238,123,1,13,376,1873,2003,239,1224,47.382610939,143.71130031
Diplôme maximum obtenu,Secondaire - DEP,7,4,13,433,530,68,32,0,1,67,467,620,9,318,51.727690892,179.29898804
Diplôme maximum obtenu,Secondaire - ASP,1,1,3,31,31,2,1,0,0,2,28,42,2,22,50.114285714,200.3
Diplôme maximum obtenu,Collégial - AEC,1,1,0,163,135,24,7,0,0,38,159,172,1,106,50.806646526,132.3897281
Diplôme maximum obtenu,Collégial - DEC général,2,5,0,204,92,17,8,0,2,48,164,164,6,103,47.975609756,133.67682927
Diplôme maximum obtenu,Collégial - DEC professionnel,0,1,0,263,144,22,16,1,0,64,244,202,6,127,49.275784753,119.76233184
Diplôme maximum obtenu,Universitaire - Certificat,0,0,0,72,53,3,5,0,0,24,77,56,0,46,52.142857143,137.93984962
Diplôme maximum obtenu,Universitaire - Baccalauréat,4,3,1,275,198,25,16,1,8,168,261,261,1,186,51.019157088,108.95019157
Diplôme maximum obtenu,Universitaire - Maîtrise ou doctorat,1,2,0,60,51,1,6,1,2,59,55,66,0,44,53.396694215,98.123966942
Diplôme maximum obtenu,Inconnu,59,35,993,2344,1606,577,241,162,188,1174,2446,3409,2888,2109,35.913748933,73.133902647
Durée cumulative,Premier mois,0,0,17,18,24,15,2,0,3,8,29,47,59,76,24.868421053,1
Durée cumulative,De 2 à 5 mois,8,0,92,193,97,85,14,3,12,52,175,314,376,489,24.664621677,3.5521472393
Durée cumulative,De 6 à 11 mois,3,7,156,341,211,117,36,19,49,118,351,520,597,871,27.887485649,8.5625717566
Durée cumulative,De 12 à 23 mois,10,7,313,739,478,218,76,53,74,234,722,1119,1136,1841,29.596958175,17.516567083
Durée cumulative,De 24 à 47 mois,20,18,581,1696,976,377,107,39,101,506,1444,2331,2105,814,31.934304636,35.211655629
Durée cumulative,De 48 à 119 mois,72,53,742,3437,2265,436,246,52,45,1336,2970,4281,1553,1640,41.114742794,75.838642946
Durée cumulative,120 mois et plus,82,49,468,4367,4666,470,428,10,0,1017,4900,5630,0,2316,52.652516619,252.40180437
Types de diagnostics,Visuel,195,0,0,0,0,0,0,5,8,47,77,118,32,59,44.6,133.64615385
Types de diagnostics,Auditif et de la parole,0,134,0,0,0,0,0,3,4,33,73,61,19,53,43.007462687,120.04477612
Types de diagnostics,Intellectuel et d'apprentissage,0,0,2369,0,0,0,0,10,35,233,1120,1249,1468,1011,28.045166737,85.722245673
Types de diagnostics,Santé mentale,0,0,0,10791,0,0,0,22,34,1169,4038,6753,2905,3340,39.215735335,129.30859049
Types de diagnostics,Physique,0,0,0,0,8717,0,0,97,127,1281,4045,4672,830,2342,50.662154411,166.06470116
Types de diagnostics,Autres,0,0,0,0,0,1718,0,10,11,242,703,1015,548,918,42.753201397,95.196740396
Types de diagnostics,Conjoints sans contraintes sévères,0,0,0,0,0,0,909,29,65,266,535,374,24,324,51.360836084,143.46974697
Région,01 - Bas-Saint-Laurent,1,0,70,326,247,46,27,0,1,8,307,410,150,241,44.546722455,153.17712692
Région,02 - Saguenay-Lac-Saint-Jean,6,0,116,329,330,50,32,0,1,16,395,468,213,299,42.047508691,152.59791425
Région,03 - Capitale-Nationale,13,9,127,828,594,145,33,3,24,116,728,1021,367,571,43.526014866,146.64208119
Région,04 - Mauricie,3,4,94,434,401,56,30,0,2,25,455,567,217,333,43.591976517,172.14285714
Région,05 - Estrie,10,8,192,776,526,100,61,0,9,124,732,941,419,558,41.717872086,134.73879259
Région,06 - Montréal,74,52,557,2947,2258,484,289,128,125,1974,2681,3980,1362,2178,44.017114547,132.51613872
