Caracteristique,Valeur,Demandeurs_asile,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Durcon_moins_2ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,38212,3480,15504,50903,94001,18940,78142,42.730559543,117.204425
Situation familiale,Couples sans enfants,5533,1206,2784,7069,7127,673,7466,49.933431953,120.59784446
Situation familiale,Familles monoparentales,2973,746,4264,19479,2315,1380,10432,38.287189135,105.02014316
Situation familiale,Couples avec enfants,8671,1299,3669,8755,8588,772,11070,39.474831344,73.415787349
Situation familiale,Conjoint d'étudiant,1,11,26,29,36,3,42,39.692307692,70.769230769
Sexe,Hommes,34701,2501,11974,0,112067,12930,63487,42.060999224,107.72595858
Sexe,Femmes,20689,4241,14273,86235,0,8838,43665,43.006401113,118.16003943
Âge,Moins de 20 ans,1440,148,184,1542,2212,3754,3700,18.627064465,9.9869472563
Âge,De 20 à 24 ans,8319,588,726,7296,10718,18014,12377,22.105362496,23.808038193
Âge,De 25 à 29 ans,10393,636,1077,9230,12402,0,15990,27.116309172,35.225268121
Âge,De 30 à 34 ans,10514,742,1565,10728,13839,0,17057,32.013595474,52.403183132
Âge,De 35 à 39 ans,8371,749,1996,9692,12690,0,14366,36.988517559,71.879099276
Âge,De 40 à 44 ans,6379,682,2659,9414,12394,0,12501,41.981658107,98.673239178
Âge,De 45 à 49 ans,3978,525,2927,8256,10850,0,9383,46.924421648,135.23626086
Âge,De 50 à 54 ans,2276,403,3473,7692,9902,0,7105,52.048141412,176.78464249
Âge,55 ans et plus,3720,2269,11640,22385,27060,0,14673,61.187804631,208.13971079
Âge,35 ans et moins,32491,2259,3896,30791,41745,21768,52148,27.587749531,38.755638579
Âge,36 ans et plus,22899,4483,22351,55444,70322,0,55004,51.056740295,154.65926403
Scolarité,Primaire,112,469,3042,4810,5330,1659,3506,44.427120316,159.68422091
Scolarité,Secondaire I à IV,159,214,5579,25326,34812,4880,22314,43.46092321,178.11184276
Scolarité,Secondaire V,380,277,5342,15241,18397,1174,13548,47.185682859,154.07274511
Scolarité,Collégiale,160,139,2306,5195,5419,196,4636,47.463821368,129.32240437
Scolarité,Universitaire,547,581,3522,3940,4530,60,4206,49.362337662,106.71534829
Scolarité,Inconnue,54032,5062,6456,31723,43579,13799,58942,37.834997742,32.832620648
Diplôme maximum obtenu,Aucun diplôme,546,792,10946,33205,43564,6835,27790,44.123995363,175.02185778
Diplôme maximum obtenu,Secondaire - DES,100,161,2900,10724,12422,889,9817,45.825196578,142.27352458
Diplôme maximum obtenu,Secondaire - DEP,13,22,627,2942,4114,70,3122,48.335884354,164.70946712
Diplôme maximum obtenu,Secondaire - ASP,0,2,41,179,339,4,220,48.915057915,193.503861
Diplôme maximum obtenu,Collégial - AEC,14,18,409,997,1102,14,999,48.780848023,126.71843735
Diplôme maximum obtenu,Collégial - DEC général,14,19,324,754,842,26,684,47.859022556,129.81892231
Diplôme maximum obtenu,Collégial - DEC professionnel,19,20,432,1199,1056,20,969,48.601773836,121.50820399
Diplôme maximum obtenu,Universitaire - Certificat,14,16,246,416,400,2,407,49.993872549,123.60171569
Diplôme maximum obtenu,Universitaire - Baccalauréat,103,169,1432,1587,1668,13,1537,50.123195084,104.42549923
Diplôme maximum obtenu,Universitaire - Maîtrise ou doctorat,18,116,488,391,476,1,476,50.633217993,87.554786621
Diplôme maximum obtenu,Inconnu,54549,5407,8402,33841,46084,13894,61131,38.431904911,37.616102596
Durée cumulative,Premier mois,3058,106,44,1159,2281,597,3440,34.981395349,1
Durée cumulative,De 2 à 5 mois,15344,1399,323,6902,11664,3871,18566,34.685284929,3.4870731445
Durée cumulative,De 6 à 11 mois,16093,1108,641,8526,12144,4259,20670,35.09932269,8.268698597
Durée cumulative,De 12 à 23 mois,16879,2104,1609,11542,15595,5812,27137,35.337141173,17.311825183
Durée cumulative,De 24 à 47 mois,3301,1525,2782,8567,10657,4348,8061,37.584425718,33.29650437
Durée cumulative,De 48 à 119 mois,664,500,9048,17449,20752,2881,14426,42.317504777,80.173215361
Durée cumulative,120 mois et plus,51,0,11800,32090,38974,0,14852,51.143518519,251.18739446
Types de contraintes,Sans contraintes,50801,4078,12424,47213,76134,13742,79124,38.111668707,86.591647953
Types de contraintes,Contraintes temporaires,4412,2377,10500,28328,21556,2188,19851,52.974460749,163.16434127
