Caracteristique,Valeur,Demandeurs_asile,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Durcon_moins_2ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,36509,3376,15435,50463,92810,18663,76791,42.811506704,118.61202739
Situation familiale,Couples sans enfants,5388,1217,2782,7035,7088,660,7359,50.055441478,122.58004673
Situation familiale,Familles monoparentales,2925,741,4240,19407,2312,1392,10468,38.258943782,105.10925917
Situation familiale,Couples avec enfants,8568,1224,3675,8688,8520,766,11129,39.468909809,74.226638773
Situation familiale,Conjoint d'étudiant,1,12,30,29,42,3,47,39.732394366,70.464788732
Sexe,Hommes,33274,2425,11931,0,110772,12691,62517,42.140504821,109.0809952
Sexe,Femmes,20117,4145,14231,85622,0,8793,43277,43.045315456,119.21167457
Âge,Moins de 20 ans,1434,139,183,1533,2164,3697,3641,18.623478496,9.9591560725
Âge,De 20 à 24 ans,8045,567,719,7260,10527,17787,12217,22.105357846,23.932759881
Âge,De 25 à 29 ans,10111,602,1069,9140,12242,0,15897,27.112851932,35.641333832
Âge,De 30 à 34 ans,10107,718,1535,10566,13574,0,16791,32.013048882,53.150787075
Âge,De 35 à 39 ans,8037,711,1998,9562,12428,0,14138,36.99572533,72.79886312
Âge,De 40 à 44 ans,6090,653,2657,9340,12245,0,12326,41.987120686,100.29664119
Âge,De 45 à 49 ans,3807,525,2896,8203,10709,0,9283,46.937288494,136.2045791
Âge,De 50 à 54 ans,2195,397,3490,7688,9906,0,7038,52.047743549,178.04996021
Âge,55 ans et plus,3565,2258,11615,22330,26977,0,14463,61.164114629,209.06455473
Âge,35 ans et moins,31443,2167,3849,30455,41032,21484,51537,27.576986025,39.183753689
Âge,36 ans et plus,21948,4403,22313,55167,69740,0,54257,51.095759245,156.02914969
Scolarité,Primaire,106,461,3051,4810,5370,1671,3515,44.489489194,160.88084479
Scolarité,Secondaire I à IV,155,209,5575,25340,34889,4887,22297,43.453153796,178.22716632
Scolarité,Secondaire V,372,253,5325,15243,18429,1168,13515,47.187811832,154.10643858
