Caracteristique,Valeur,Demandeurs_asile,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Durcon_moins_2ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,37990,3550,15884,51382,93991,18493,77291,42.819904659,116.94088311
Situation familiale,Couples sans enfants,5702,1147,2823,7102,7155,634,7430,50.092305534,119.05141334
Situation familiale,Familles monoparentales,3126,776,4399,19972,2355,1401,10673,38.292560577,103.80225736
Situation familiale,Couples avec enfants,8578,1309,3600,8667,8497,707,10475,39.68888371,73.684805407
Situation familiale,Conjoint d'étudiant,0,13,23,31,27,1,36,39.896551724,61.24137931
Sexe,Hommes,34501,2521,12150,0,112025,12517,62219,42.179290337,107.73064048
Sexe,Femmes,20895,4274,14579,87154,0,8719,43686,43.054604493,117.20298552
Âge,Moins de 20 ans,1335,148,173,1474,2123,3597,3536,18.640255769,10.144008896
Âge,De 20 à 24 ans,7904,625,747,7245,10394,17639,11749,22.092012019,24.449742049
Âge,De 25 à 29 ans,10085,645,1102,9260,12212,0,15351,27.116523845,35.955430328
Âge,De 30 à 34 ans,10470,738,1648,10841,13879,0,16775,32.018487055,52.783414239
Âge,De 35 à 39 ans,8401,749,2058,9944,12790,0,14297,36.981613442,71.779581244
Âge,De 40 à 44 ans,6536,694,2731,9594,12486,0,12476,41.980480072,98.304891304
Âge,De 45 à 49 ans,4199,524,2960,8508,11108,0,9621,46.931382545,133.57529568
Âge,De 50 à 54 ans,2429,403,3526,7827,10005,0,7235,52.0506393,174.98233513
Âge,55 ans et plus,4037,2269,11784,22461,27028,0,14865,61.237871042,206.02010548
Âge,35 ans et moins,31623,2309,4041,30908,41197,21236,50411,27.656445461,39.503418626
Âge,36 ans et plus,23773,4486,22688,56246,70828,0,55494,51.020255914,152.94112092
Scolarité,Primaire,136,502,3059,4862,5364,1675,3614,44.192352826,157.15392138
Scolarité,Secondaire I à IV,210,237,5717,25649,34950,4887,22700,43.384428786,176.77740557
Scolarité,Secondaire V,471,323,5374,15459,18458,1186,13841,47.085443878,152.39850223
Scolarité,Collégiale,208,133,2360,5290,5453,196,4737,47.393837848,127.70129387
Scolarité,Universitaire,684,542,3619,4050,4638,61,4398,49.14997698,103.80271639
Scolarité,Inconnue,53687,5058,6600,31844,43162,13231,56615,38.17545263,33.610791137
Diplôme maximum obtenu,Aucun diplôme,653,866,11051,33547,43700,6874,28347,44.014913201,173.48682797
Diplôme maximum obtenu,Secondaire - DES,144,189,2981,10910,12461,885,9991,45.73343032,140.8719353
Diplôme maximum obtenu,Secondaire - DEP,25,22,644,3006,4142,62,3145,48.342193621,163.56085618
