Caracteristique,Valeur,Demandeurs_asile,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Durcon_moins_2ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,32219,2747,15219,48756,88257,17512,70939,43.135819229,123.41085882
Situation familiale,Couples sans enfants,4880,1001,2773,6699,6738,599,6674,50.597678053,130.36585547
Situation familiale,Familles monoparentales,2744,676,4174,18988,2284,1373,10152,38.269462204,106.74384167
Situation familiale,Couples avec enfants,8359,948,3683,8446,8278,758,10862,39.389320737,76.12479072
Situation familiale,Conjoint d'étudiant,0,7,26,26,28,1,30,40.407407407,80.851851852
Sexe,Hommes,29649,1898,11747,0,105585,11786,57795,42.460917744,113.84064024
Sexe,Femmes,18553,3481,14128,82915,0,8457,40862,43.198576856,122.88350721
Âge,Moins de 20 ans,1304,116,160,1486,2009,3495,3449,18.626323319,9.9842632332
Âge,De 20 à 24 ans,7165,441,732,6971,9777,16748,11325,22.102459995,24.67548364
Âge,De 25 à 29 ans,9189,471,1020,8688,11362,0,14782,27.116508728,36.938902743
Âge,De 30 à 34 ans,9224,561,1470,10102,12642,0,15660,32.006902919,54.954185719
Âge,De 35 à 39 ans,7406,551,1963,9204,11785,0,13300,37.002763352,75.312878174
Âge,De 40 à 44 ans,5437,490,2626,8910,11525,0,11327,41.99168094,104.27594813
Âge,De 45 à 49 ans,3350,419,2892,7995,10117,0,8548,46.940591873,141.22509938
Âge,De 50 à 54 ans,1916,325,3454,7489,9667,0,6530,52.058871532,182.87811844
Âge,55 ans et plus,3211,2005,11558,22070,26701,0,13736,61.103176068,212.48569847
Âge,35 ans et moins,28472,1697,3725,29081,38189,20243,47996,27.576586889,40.491482087
Âge,36 ans et plus,19730,3682,22150,53834,67396,0,50661,51.224688608,160.72661882
Scolarité,Primaire,84,423,3034,4762,5328,1669,3383,44.656987116,163.85936571
Scolarité,Secondaire I à IV,141,194,5542,25073,34361,4770,21236,43.591345021,180.42753306
Scolarité,Secondaire V,300,228,5253,15100,18087,1138,12944,47.335764004,156.16572754
Scolarité,Collégiale,139,115,2260,5130,5310,184,4461,47.561206897,131.84454023
Scolarité,Universitaire,413,452,3446,3739,4345,41,3856,49.842652152,111.13693716
Scolarité,Inconnue,47125,3967,6340,29111,38154,12441,52777,37.958076266,35.297985579
Diplôme maximum obtenu,Aucun diplôme,451,698,10914,32893,43175,6681,26543,44.277646316,177.47341852
Diplôme maximum obtenu,Secondaire - DES,74,141,2812,10612,12113,890,9391,45.966776678,144.38605061
Diplôme maximum obtenu,Secondaire - DEP,8,17,612,2914,4047,80,2968,48.474644448,167.33587128
Diplôme maximum obtenu,Secondaire - ASP,0,0,35,177,328,3,197,49.130693069,196.39207921
Diplôme maximum obtenu,Collégial - AEC,9,17,397,970,1066,12,972,48.779960707,129.05844794
Diplôme maximum obtenu,Collégial - DEC général,11,13,317,738,820,25,624,47.902439024,132.51412067
Diplôme maximum obtenu,Collégial - DEC professionnel,9,15,412,1187,1044,23,938,48.660690273,122.03541013
Diplôme maximum obtenu,Universitaire - Certificat,8,12,240,391,390,0,384,50.550576184,129.60819462
Diplôme maximum obtenu,Universitaire - Baccalauréat,45,147,1414,1547,1591,12,1430,50.491077119,107.82058636
Diplôme maximum obtenu,Universitaire - Maîtrise ou doctorat,19,78,467,354,458,1,425,51.072660099,91.630541872
Diplôme maximum obtenu,Inconnu,47568,4241,8255,31132,40553,12516,54785,38.616084258,40.567426937
Durée cumulative,Premier mois,2751,144,37,1151,1977,663,3128,34.200767263,1
Durée cumulative,De 2 à 5 mois,14071,973,309,6707,10178,3383,16885,34.61308854,3.5169084987
Durée cumulative,De 6 à 11 mois,12179,938,618,6744,9668,3648,16412,34.681940044,8.2272727273
Durée cumulative,De 12 à 23 mois,16903,1720,1439,11264,15070,5569,26334,35.453596111,16.593491304
Durée cumulative,De 24 à 47 mois,1558,984,2604,7290,8947,4051,7648,37.308739299,34.439982755
Durée cumulative,De 48 à 119 mois,684,620,8847,17437,20546,2929,13825,42.231287681,79.946818313
Durée cumulative,120 mois et plus,56,0,12021,32322,39199,0,14425,51.186868193,251.37257589
Types de contraintes,Sans contraintes,44206,3002,12249,44744,70055,12164,71838,38.385203704,92.256056237
Types de contraintes,Contraintes temporaires,3826,2057,10278,27322,21030,2244,18625,52.99689775,167.54971873
Types de contraintes,Contraintes sévères,143,247,3054,10280,14111,5815,7873,42.910991759,138.39481776
Types de contraintes,Conjoints sans contraintes sévères,27,73,294,569,389,20,321,51.477035491,147.07202505
Région,01 - Bas-Saint-Laurent,16,13,45,1317,1806,307,1165,45.245917387,171.5456292
Région,02 - Saguenay-Lac-Saint-Jean,28,9,43,2034,2437,387,1751,44.490494297,175.38850369
Région,03 - Capitale-Nationale,1126,262,879,4417,5923,942,4805,44.004738878,143.81054159
Région,04 - Mauricie,249,47,204,3052,3956,657,2711,43.628424658,175.07091895
Région,05 - Estrie,566,208,814,4452,5484,1057,4134,42.806964573,141.63576892
Région,06 - Montréal,36706,3095,17268,33838,46573,9366,50723,41.488266531,88.677991817
Région,07 - Outaouais,736,233,863,4084,4529,792,3478,43.551027517,134.85754093
Région,08 - Abitibi-Témiscamingue,19,4,23,999,1252,189,942,44.264771213,158.65526433
Région,09 - Côte-Nord,14,10,13,483,589,83,421,45.925373134,175.81809701
Région,10 - Nord-du-Québec,2,0,4,293,372,75,300,43.016541353,134.52481203
Région,11 - Gaspésie-Îles-de-la-Madeleine,1,2,13,803,1009,173,716,45.701434879,181.68377483
Région,12 - Chaudière-Appalaches,239,25,117,2064,2699,461,2138,43.331513752,138.54902372
Région,13 - Laval,2384,453,2388,4128,4097,856,4370,45.765835866,89.928024316
Région,14 - Lanaudière,719,89,380,3833,4229,877,3745,44.143016621,145.96638551
Région,15 - Laurentides,610,104,531,4248,5144,893,3884,44.318781942,143.96486371
Région,16 - Montérégie,4145,766,2092,10555,12397,2528,10895,42.905542001,123.36924887
Région,17 - Centre-du-Québec,623,58,189,2281,3040,587,2433,42.136628453,139.63446721
Région,Région inconnue,19,1,9,34,49,13,46,40,98
