Caracteristique,Valeur,Sans_contraintes,Etat_de_sante,Gross_enfant_charge,Enfant_handicape,Age,Autres,Demandeurs_asile,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Durcon_moins_2ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,85339,5924,289,0,25821,767,28179,3416,14353,42369,75771,10604,61528,44.014178094,121.64653801
Situation familiale,Couples sans enfants,6559,138,52,0,4821,83,4569,1022,2541,5802,5851,408,5439,51.613575903,121.60053205
Situation familiale,Familles monoparentales,10552,771,8577,1099,620,101,2972,812,4394,19496,2224,1377,10126,38.208701657,102.01560773
Situation familiale,Couples avec enfants,13269,125,304,270,840,39,6978,1276,3252,7512,7335,539,7619,40.151815182,79.107765879
Situation familiale,Conjoint d'étudiant,66,4,3,5,6,1,1,16,35,47,38,2,55,38.858823529,62.717647059
Sexe,Hommes,69490,3439,466,177,17221,426,24849,2411,11000,0,91219,6835,48209,43.401889957,114.24373212
Sexe,Femmes,46295,3523,8759,1197,14887,565,17850,4131,13575,75226,0,6095,36558,43.489498312,116.48574961
Âge,Moins de 20 ans,1362,152,150,0,0,3,947,82,55,829,838,1667,1643,18.671265747,11.135572885
Âge,De 20 à 24 ans,9375,560,1299,5,0,24,5452,601,460,5266,5997,11263,7911,22.22551718,23.583503507
Âge,De 25 à 29 ans,13815,783,2293,60,0,48,7061,643,1002,7796,9203,0,11111,27.127595741,39.063944938
Âge,De 30 à 34 ans,17595,882,2427,170,0,62,7529,727,1559,9757,11379,0,13043,32.027062831,57.675340651
Âge,De 35 à 39 ans,17122,872,1798,281,0,86,6301,732,2089,9098,11061,0,11811,36.957785604,76.054020537
Âge,De 40 à 44 ans,17142,991,978,342,0,116,5026,650,2609,8796,10773,0,10451,41.97884409,100.76605856
Âge,De 45 à 49 ans,16139,998,234,294,0,191,3699,523,2829,7764,10092,0,8633,46.922603047,132.66381048
Âge,De 50 à 54 ans,14085,1027,38,164,0,262,2242,381,3206,6753,8823,0,6660,51.996404725,171.62474319
Âge,55 ans et plus,9150,697,8,58,32108,199,4442,2203,10766,19167,23053,0,13504,61.507318806,200.60544766
Âge,35 ans et moins,45760,2560,6601,290,0,155,22363,2218,3511,25625,29741,12930,36279,28.357692447,44.538380956
Âge,36 ans et plus,70025,4402,2624,1084,32108,836,20336,4324,21064,49601,61478,0,48488,50.959821388,150.5058922
Scolarité,Primaire,4707,320,519,69,2275,37,213,524,2678,3925,4002,583,2921,46.423741642,161.00883058
Scolarité,Secondaire I à IV,37202,2852,3892,561,9541,475,409,260,5399,23139,31384,3679,21847,43.059736258,171.68607744
Scolarité,Secondaire V,18501,1967,1539,348,7237,258,680,345,4930,13413,16437,883,13191,46.699128978,147.1719598
Scolarité,Collégiale,5869,741,474,121,2184,75,346,143,2174,4639,4825,158,4528,46.991969569,121.54828825
Scolarité,Universitaire,5038,423,318,81,2113,45,966,535,3422,3759,4259,99,4332,48.451484161,96.065477675
Scolarité,Inconnue,44468,659,2483,194,8758,101,40085,4735,5972,26351,30312,7528,37948,40.373541817,39.410726576
Diplôme maximum obtenu,Aucun diplôme,45010,3355,4586,689,13724,545,1049,924,10110,29634,38275,4458,26690,43.98037079,169.81654862
Diplôme maximum obtenu,Secondaire - DES,13197,1579,1189,248,4122,196,219,194,2727,9409,11122,687,9424,45.391310701,136.6365009
Diplôme maximum obtenu,Secondaire - DEP,3893,454,325,70,1650,54,43,24,633,2666,3780,60,3066,47.553986969,154.67561278
Diplôme maximum obtenu,Secondaire - ASP,297,31,14,4,141,3,2,2,52,169,321,0,217,49.148979592,185.06530612
Diplôme maximum obtenu,Collégial - AEC,1215,158,96,29,460,14,22,16,439,970,1002,7,1050,48.027383367,118.39959432
Diplôme maximum obtenu,Collégial - DEC général,842,98,44,13,365,11,33,23,280,629,744,21,631,47.638018937,121.5826657
Diplôme maximum obtenu,Collégial - DEC professionnel,1134,152,86,30,472,17,19,26,402,999,892,15,883,48.419354839,118.21311475
