Caracteristique,Valeur,Sans_contraintes,Etat_de_sante,Gross_enfant_charge,Enfant_handicape,Age,Autres,Demandeurs_asile,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Durcon_moins_2ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,84992,5733,293,0,25901,772,27432,3419,14491,42505,75186,10445,60427,44.112633931,122.23971247
Situation familiale,Couples sans enfants,6500,148,46,0,4871,83,4561,1029,2531,5797,5851,395,5345,51.817565247,121.61727335
Situation familiale,Familles monoparentales,10594,758,8694,1111,634,101,3007,836,4412,19638,2254,1360,10167,38.249223461,101.9834186
Situation familiale,Couples avec enfants,13142,140,292,267,843,41,6865,1258,3273,7451,7274,528,7458,40.251952462,80.125229202
Situation familiale,Conjoint d'étudiant,63,6,3,6,5,1,1,15,33,47,37,2,54,38.583333333,62.023809524
Sexe,Hommes,68915,3324,479,179,17276,429,24097,2415,11107,0,90602,6676,47063,43.529999338,115.15863888
Sexe,Femmes,46376,3461,8849,1205,14978,569,17769,4142,13633,75438,0,6054,36388,43.540775206,116.4821973
Âge,Moins de 20 ans,1324,150,150,0,0,6,887,88,61,825,805,1630,1601,18.665644172,11.363190184
Âge,De 20 à 24 ans,9246,532,1291,4,0,27,5278,607,464,5229,5871,11100,7672,22.224234234,24.031891892
Âge,De 25 à 29 ans,13618,743,2317,62,0,47,6793,647,1039,7776,9011,0,10761,27.132840889,39.719544886
Âge,De 30 à 34 ans,17382,867,2461,170,0,64,7322,724,1565,9777,11167,0,12676,32.033899924,58.336516425
Âge,De 35 à 39 ans,17055,858,1817,285,0,86,6153,724,2106,9102,10999,0,11675,36.961494453,76.728272225
Âge,De 40 à 44 ans,17113,967,997,346,0,119,4946,636,2636,8855,10687,0,10282,41.978507829,101.22367209
Âge,De 45 à 49 ans,16234,945,242,293,0,189,3675,524,2849,7822,10081,0,8592,46.929453164,132.67212199
Âge,De 50 à 54 ans,14166,1019,45,167,0,267,2253,375,3220,6799,8865,0,6664,51.995594995,171.07335291
Âge,55 ans et plus,9153,704,8,57,32254,193,4559,2232,10800,19253,23116,0,13528,61.532700795,199.94781562
Âge,35 ans et moins,45140,2474,6652,288,0,166,21597,2222,3565,25567,29153,12730,35242,28.373099415,45.192891082
Âge,36 ans et plus,70151,4311,2676,1096,32254,832,20269,4335,21175,49871,61449,0,48209,50.987765002,150.44764642
Scolarité,Primaire,4722,304,529,70,2276,39,222,526,2667,3933,4007,585,2914,46.405163728,160.6081864
Scolarité,Secondaire I à IV,37352,2825,3944,567,9532,467,411,269,5441,23266,31421,3714,21819,43.038345493,171.33512535
Scolarité,Secondaire V,18615,1916,1574,353,7279,267,680,364,4984,13542,16462,893,13216,46.682075723,146.87794961
Scolarité,Collégiale,5976,706,477,123,2187,73,358,145,2202,4688,4854,158,4565,46.956612869,120.94875288
Scolarité,Universitaire,5118,417,324,81,2112,48,985,549,3465,3810,4290,103,4393,48.419259259,95.234567901
Scolarité,Inconnue,43508,617,2480,190,8868,104,39210,4704,5981,26199,29568,7277,36544,40.624993276,40.226926318
Diplôme maximum obtenu,Aucun diplôme,45153,3313,4649,698,13756,538,1063,945,10159,29815,38292,4502,26647,43.966347072,169.53617103
Diplôme maximum obtenu,Secondaire - DES,13351,1522,1215,249,4138,202,217,204,2777,9498,11179,688,9481,45.363253857,136.14494366
Diplôme maximum obtenu,Secondaire - DEP,3938,430,331,72,1642,58,44,25,631,2680,3791,63,3066,47.479214959,154.16813476
Diplôme maximum obtenu,Secondaire - ASP,297,29,13,5,136,4,2,2,51,163,321,1,213,48.987603306,184.51446281
Diplôme maximum obtenu,Collégial - AEC,1245,152,98,28,460,13,27,18,448,992,1004,6,1058,48.012024048,116.98897796
Diplôme maximum obtenu,Collégial - DEC général,843,95,44,15,360,11,34,21,281,629,739,24,634,47.493421053,120.93640351
Diplôme maximum obtenu,Collégial - DEC professionnel,1152,152,88,31,471,17,19,23,410,1010,901,14,895,48.366300366,117.42072214
Diplôme maximum obtenu,Universitaire - Certificat,467,45,26,4,213,4,22,21,267,381,378,3,393,49.247694335,113.83135705
Diplôme maximum obtenu,Universitaire - Baccalauréat,1848,177,124,37,835,15,181,196,1418,1498,1538,21,1575,49.313570487,94.934123847
Diplôme maximum obtenu,Universitaire - Maîtrise ou doctorat,500,49,18,5,233,6,50,96,471,372,439,3,455,50.616522811,83.853267571
Diplôme maximum obtenu,Inconnu,46497,821,2722,240,10010,130,40207,5006,7827,28400,32020,7405,39034,41.109202251,44.790235022
Durée cumulative,Premier mois,118,66,39,1,39,6,81,29,30,155,114,43,269,38.353159851,1
Durée cumulative,De 2 à 5 mois,4340,556,408,5,572,22,4420,191,230,2776,3127,1117,5903,36.9717093,3.7694392682
Durée cumulative,De 6 à 11 mois,10091,630,824,20,1141,14,9545,452,556,5636,7084,2281,12720,37.247877358,8.5213050314
Durée cumulative,De 12 à 23 mois,23373,793,1809,67,2564,39,18535,2189,1810,12602,16043,4717,28645,37.230825624,17.155070693
Durée cumulative,De 24 à 47 mois,19406,1009,2190,124,3194,78,8838,3539,3107,12155,13846,3480,9274,38.90877274,33.155417099
Durée cumulative,De 48 à 119 mois,21316,1621,2554,369,5720,193,411,157,8384,14879,16894,1092,13611,43.09596198,81.90819249
