Caracteristique,Valeur,Sans_contraintes,Etat_de_sante,Gross_enfant_charge,Enfant_handicape,Age,Autres,Demandeurs_asile,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Durcon_moins_2ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,84646,5709,281,0,26016,783,26702,3538,14713,42810,74625,10087,58946,44.274347511,122.7337591
Situation familiale,Couples sans enfants,6226,155,46,0,4861,81,4351,1033,2522,5651,5718,346,4943,52.31146099,123.71624593
Situation familiale,Familles monoparentales,10644,725,8969,1112,634,98,3070,914,4421,19911,2271,1355,10250,38.260210982,101.27995672
Situation familiale,Couples avec enfants,12927,138,292,264,834,36,6520,1387,3247,7332,7159,483,7205,40.391553378,80.966461942
Situation familiale,Conjoint d'étudiant,61,5,3,6,4,1,1,14,32,49,31,1,54,38.25,62.775
Sexe,Hommes,68096,3331,493,178,17269,437,23115,2526,11220,0,89804,6303,45468,43.714455926,116.21669413
Sexe,Femmes,46408,3401,9098,1204,15080,562,17529,4360,13715,75753,0,5969,35930,43.634126701,116.27188362
Âge,Moins de 20 ans,1248,140,146,0,0,5,810,97,59,802,737,1539,1513,18.673164392,11.685510071
Âge,De 20 à 24 ans,8896,498,1302,8,0,29,4855,646,463,5167,5566,10733,7221,22.244945495,24.777694959
Âge,De 25 à 29 ans,13306,739,2335,56,0,52,6395,698,1074,7718,8770,0,10232,27.141254246,40.561499272
Âge,De 30 à 34 ans,16947,854,2578,164,0,63,6906,771,1582,9691,10915,0,12094,32.026545666,59.311802388
Âge,De 35 à 39 ans,17041,884,1876,295,0,87,5946,789,2126,9207,10976,0,11452,36.961403161,77.501065253
Âge,De 40 à 44 ans,17122,965,1037,334,0,124,4927,664,2655,8925,10657,0,10173,41.968082933,100.86635686
Âge,De 45 à 49 ans,16429,952,258,299,0,186,3683,584,2898,7994,10130,0,8553,46.920657691,132.70630104
Âge,De 50 à 54 ans,14327,1017,51,172,0,273,2349,394,3263,6885,8955,0,6734,51.991098485,169.11843434
Âge,55 ans et plus,9188,683,8,54,32349,180,4773,2243,10815,19364,23098,0,13426,61.572040884,198.91700815
Âge,35 ans et moins,43995,2419,6799,279,0,167,20239,2371,3624,25386,28273,12272,33540,28.423787249,46.164166309
Âge,36 ans et plus,70509,4313,2792,1103,32349,832,20405,4515,21311,50367,61531,0,47858,50.992484227,149.84669074
Scolarité,Primaire,4822,296,556,70,2267,39,224,635,2651,4014,4036,607,2948,46.263354037,158.42496894
Scolarité,Secondaire I à IV,37534,2787,4032,555,9497,470,418,307,5482,23440,31435,3747,21638,42.981977221,170.74183144
Scolarité,Secondaire V,18881,1855,1642,355,7251,274,717,415,5055,13742,16516,931,13293,46.588703814,145.74978518
Scolarité,Collégiale,6061,706,503,125,2192,68,374,153,2246,4764,4891,152,4612,46.934852408,120.22268255
Scolarité,Universitaire,5185,453,352,84,2138,41,999,588,3555,3914,4339,93,4488,48.441536411,93.977583909
Scolarité,Inconnue,42021,635,2506,193,9004,107,37912,4788,5946,25879,28587,6742,34419,41.08008666,41.373425623
Diplôme maximum obtenu,Aucun diplôme,45454,3265,4781,684,13684,546,1102,1111,10196,30086,38328,4565,26543,43.884219604,168.59803549
Diplôme maximum obtenu,Secondaire - DES,13599,1485,1269,250,4157,205,227,235,2862,9672,11293,726,9555,45.292916766,134.987026
Diplôme maximum obtenu,Secondaire - DEP,3987,419,343,77,1630,53,43,28,637,2725,3784,58,3066,47.507143955,154.06252881
Diplôme maximum obtenu,Secondaire - ASP,286,33,12,5,136,4,1,2,49,165,311,2,205,49.163865546,186.72478992
Diplôme maximum obtenu,Collégial - AEC,1262,151,105,30,464,10,29,23,461,1008,1014,7,1073,47.823442136,115.92284866
Diplôme maximum obtenu,Collégial - DEC général,867,98,51,13,353,11,32,22,292,651,742,19,655,47.411342426,119.71787509
Diplôme maximum obtenu,Collégial - DEC professionnel,1140,157,90,30,480,17,20,24,413,1012,902,13,888,48.36938349,116.96551724
Diplôme maximum obtenu,Universitaire - Certificat,478,41,25,4,209,6,23,21,276,383,380,3,406,49.318479685,110.93709043
Diplôme maximum obtenu,Universitaire - Baccalauréat,1858,203,130,37,845,12,175,204,1456,1527,1558,16,1605,49.299837925,94.066450567
Diplôme maximum obtenu,Universitaire - Maîtrise ou doctorat,523,51,19,7,246,4,51,103,496,393,457,3,488,50.483529412,82.122352941
Diplôme maximum obtenu,Inconnu,45050,829,2766,245,10145,131,38941,5113,7797,28131,31035,6860,36914,41.556113308,45.952844539
Durée cumulative,Premier mois,161,65,33,3,41,1,128,31,27,157,147,52,304,38.230263158,1
Durée cumulative,De 2 à 5 mois,4372,519,439,9,663,27,4630,180,244,3013,3016,935,6029,38.455796981,3.7185271189
Durée cumulative,De 6 à 11 mois,8754,642,801,16,1052,15,8084,481,565,5145,6135,2042,11280,37.257890071,8.6789007092
Durée cumulative,De 12 à 23 mois,22650,781,1832,59,2563,40,17822,2114,1843,12286,15639,4582,27925,37.469758281,17.489382274
Durée cumulative,De 24 à 47 mois,20464,1075,2319,139,3363,83,9543,3901,3228,12910,14533,3607,9510,39.019422075,33.350690522
Durée cumulative,De 48 à 119 mois,21477,1573,2622,370,5751,185,402,179,8460,15051,16927,1054,13539,43.131496654,81.98248796
Durée cumulative,120 mois et plus,36626,2077,1545,786,18916,648,35,0,10568,27191,33407,0,12811,50.678174197,249.16295917
Types de contraintes,Sans contraintes,114504,0,0,0,0,0,35107,4306,13901,46408,68096,10144,61395,39.342031719,97.742882345
Types de contraintes,État de santé,0,6732,0,0,0,0,81,59,758,3401,3331,638,4322,40.132204397,95.509358289
Types de contraintes,Grossesse ou enfant à charge,0,0,9591,0,0,0,1695,461,1322,9098,493,1448,5304,31.791575435,62.003336461
Types de contraintes,Enfant handicapé,0,0,0,1382,0,0,6,15,362,1204,178,8,399,41.926917511,149.85238784
Types de contraintes,Âge,0,0,0,0,32349,0,3750,2034,8470,15080,17269,0,9739,63.296423382,198.33382794
Types de contraintes,Autres,0,0,0,0,0,999,5,11,122,562,437,34,239,45.772772773,192.26926927
Région,01 - Bas-Saint-Laurent,1551,221,143,33,550,32,26,28,42,1088,1442,136,1104,44.994071146,164.38972332
Région,02 - Saguenay-Lac-Saint-Jean,2433,232,254,38,769,31,48,9,45,1707,2050,207,1557,44.361192441,170.12030876
Région,03 - Capitale-Nationale,5963,480,518,71,1856,73,839,383,909,3989,4972,520,4326,44.50083696,138.39180895
Région,04 - Mauricie,4372,276,453,63,1173,42,242,71,244,2790,3589,448,2595,43.467001097,168.72174322
Région,05 - Estrie,5913,527,659,92,1586,60,442,331,808,3930,4907,674,3804,42.998415752,136.92542718
Région,06 - Montréal,52208,1570,3242,436,12861,276,30762,3759,16440,31439,39154,6019,38247,42.912654229,90.629566671
Région,07 - Outaouais,5164,429,663,66,1510,52,646,279,859,3889,3995,526,3220,43.548072045,128.94875698
Région,08 - Abitibi-Témiscamingue,1305,134,112,23,356,14,28,3,19,873,1071,124,920,43.647119342,146.23662551
Région,09 - Côte-Nord,575,45,77,13,200,6,13,1,16,409,507,30,401,45.180131004,164.83733624
Région,10 - Nord-du-Québec,402,25,47,2,106,3,2,0,5,257,328,50,299,43.731623932,136.74188034
Région,11 - Gaspésie-Îles-de-la-Madeleine,866,115,80,15,348,25,2,1,14,612,837,88,646,45.636300897,176.24568668
Région,12 - Chaudière-Appalaches,2803,215,253,49,730,36,162,35,106,1816,2270,237,1856,43.686245717,136.60132159
Région,13 - Laval,4873,208,356,48,2169,31,2375,609,2211,4008,3677,526,3967,46.87807417,87.803122967
Région,14 - Lanaudière,4687,468,606,105,1654,76,1001,143,411,3730,3866,509,3888,44.544102159,133.17469721
Région,15 - Laurentides,5319,503,525,106,1760,82,671,171,514,3817,4478,456,3735,44.740204943,139.23086197
Région,16 - Montérégie,12903,988,1273,202,3958,134,3096,925,2079,9378,10080,1368,8764,44.13732141,124.5304759
Région,17 - Centre-du-Québec,3118,295,328,19,752,25,276,138,208,2000,2537,352,2050,42.748512233,142.52171038
Région,Région inconnue,49,1,2,1,11,1,13,0,5,21,44,2,19,46.184615385,137.55384615
