Caracteristique,Valeur,Sans_contraintes,Etat_de_sante,Gross_enfant_charge,Enfant_handicape,Age,Autres,Demandeurs_asile,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Durcon_moins_2ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,87614,5869,265,0,25596,763,32214,3287,13991,42382,77725,11187,64653,43.680093583,118.60178008
Situation familiale,Couples sans enfants,7130,132,52,0,4800,87,5113,974,2564,6075,6126,502,6116,50.595934759,117.67027293
Situation familiale,Familles monoparentales,10757,833,8049,1113,587,94,3116,745,4284,19245,2188,1368,10227,38.13577194,101.55773807
Situation familiale,Couples avec enfants,14054,128,262,273,806,39,7798,1210,3241,7868,7694,636,8486,39.743798998,74.372766997
Situation familiale,Conjoint d'étudiant,49,3,4,2,8,1,0,14,30,37,30,1,44,40.417910448,68.835820896
Sexe,Hommes,72225,3429,408,181,17109,411,28926,2271,10706,0,93763,7455,51522,42.976909868,110.16778473
Sexe,Femmes,47379,3536,8224,1207,14688,573,19315,3959,13404,75607,0,6239,38004,43.283386459,114.93148783
Âge,Moins de 20 ans,1423,140,146,0,0,2,1052,89,43,844,867,1711,1688,18.668030392,10.189362946
Âge,De 20 à 24 ans,10148,518,1289,4,0,24,6398,552,474,5395,6588,11983,8797,22.224735041,21.746140366
Âge,De 25 à 29 ans,15016,791,2173,61,0,51,8344,588,984,8088,10004,0,12477,27.114470484,36.735297369
Âge,De 30 à 34 ans,18593,858,2267,176,0,58,8775,716,1489,9933,12019,0,14171,32.016946064,54.466973397
Âge,De 35 à 39 ans,17726,866,1638,285,0,88,7284,686,2005,9210,11393,0,12561,36.96811144,72.459399117
Âge,De 40 à 44 ans,17524,997,870,343,0,114,5753,643,2506,8797,11051,0,11043,41.969770254,97.554413543
Âge,De 45 à 49 ans,16006,1033,210,297,0,196,3946,477,2764,7686,10056,0,8828,46.923683914,131.43878931
Âge,De 50 à 54 ans,14066,1040,34,164,0,255,2382,343,3174,6693,8866,0,6671,52.0164535,171.57304454
Âge,55 ans et plus,9102,722,5,58,31797,196,4307,2136,10671,18961,22919,0,13290,61.461461318,201.77559694
Âge,35 ans et moins,48867,2474,6275,294,0,150,26171,2099,3384,26242,31818,13694,39854,28.29695143,41.69898381
Âge,36 ans et plus,70737,4491,2357,1094,31797,834,22070,4131,20726,49365,61945,0,49672,50.842242386,149.11727608
Scolarité,Primaire,4568,308,477,71,2292,41,160,426,2712,3841,3916,578,2769,46.651798376,165.57664045
Scolarité,Secondaire I à IV,36161,2873,3637,572,9578,451,295,215,5212,22622,30650,3458,20990,43.232748911,174.29687265
Scolarité,Secondaire V,18028,1950,1424,341,7147,259,601,285,4853,13143,16006,851,12739,46.839068236,149.67748465
Scolarité,Collégiale,5642,746,426,125,2129,81,319,113,2108,4465,4684,149,4347,47.126789813,124.02579517
Scolarité,Universitaire,4845,439,274,84,2042,43,861,521,3314,3628,4099,74,4163,48.565031707,97.979293387
Scolarité,Inconnue,50360,649,2394,195,8609,109,46005,4670,5911,27908,34408,8584,44518,39.56385198,35.224003466
Diplôme maximum obtenu,Aucun diplôme,43815,3334,4302,701,13810,522,841,752,9952,29023,37461,4232,25624,44.180795379,172.64702786
Diplôme maximum obtenu,Secondaire - DES,12800,1554,1092,241,4015,209,185,167,2662,9186,10725,660,9076,45.480538396,138.78037266
Diplôme maximum obtenu,Secondaire - DEP,3786,459,284,73,1615,49,37,19,612,2588,3678,49,2966,47.639163741,157.75678264
Diplôme maximum obtenu,Secondaire - ASP,292,39,13,4,135,3,3,2,46,165,321,1,207,48.738683128,185.38271605
Diplôme maximum obtenu,Collégial - AEC,1157,178,92,32,449,13,26,14,411,944,977,14,1037,48.090577824,118.54971369
Diplôme maximum obtenu,Collégial - DEC général,786,111,42,12,356,13,33,19,283,609,711,18,602,47.679545455,123.19924242
Diplôme maximum obtenu,Collégial - DEC professionnel,1094,159,83,31,457,20,17,16,387,976,868,18,864,48.432212581,120.17841649
Diplôme maximum obtenu,Universitaire - Certificat,452,59,22,5,193,4,29,20,238,364,371,5,399,48.819047619,114.58911565
Diplôme maximum obtenu,Universitaire - Baccalauréat,1759,168,100,38,796,15,169,160,1343,1429,1447,16,1460,49.404381085,97.547635605
Diplôme maximum obtenu,Universitaire - Maîtrise ou doctorat,483,47,17,6,231,4,39,99,456,364,424,3,457,50.604060914,85.091370558
Diplôme maximum obtenu,Inconnu,53180,857,2585,245,9740,132,46862,4962,7720,29959,36780,8678,46834,40.075892656,39.787500562
Durée cumulative,Premier mois,739,58,51,2,90,0,788,19,21,408,532,183,940,36.781914894,1
Durée cumulative,De 2 à 5 mois,7372,620,511,8,714,15,7591,247,271,3934,5306,1610,9240,36.728138528,3.6322510823
Durée cumulative,De 6 à 11 mois,15509,576,879,28,1352,25,14724,992,562,7233,11136,3043,18369,36.527246992,8.6496815287
Durée cumulative,De 12 à 23 mois,21722,785,1550,70,2160,33,16956,2129,1608,11776,14544,4547,26320,36.650303951,16.721162614
Durée cumulative,De 24 à 47 mois,16989,1023,1866,119,2773,89,7692,2705,2823,10573,12286,3165,8403,38.665645916,32.246117503
Durée cumulative,De 48 à 119 mois,20973,1672,2375,352,5595,184,452,138,8171,14497,16654,1146,13339,42.973195082,81.617604571
Durée cumulative,120 mois et plus,36300,2231,1400,809,19113,638,38,0,10654,27186,33305,0,12915,50.753120299,249.72663702
